Timestamp,SessionTime,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2025-11-03 10:25:55,2.50,120.00,7.03,0.225,114.8438,114.8438,120.00,7.03
2025-11-03 10:25:56,3.19,70.59,7.03,0.225,114.8438,114.8438,70.59,7.03
2025-11-03 10:25:56,3.40,70.59,7.03,0.368,114.8438,114.8438,70.59,7.03
2025-11-03 10:25:57,4.20,70.59,9.38,0.368,134.7656,80.8594,70.59,9.38
2025-11-03 10:25:59,6.75,70.59,11.72,0.368,134.7656,80.8594,70.59,11.72
2025-11-03 10:26:00,7.38,70.59,11.72,0.744,134.7656,80.8594,70.59,11.72
2025-11-03 10:26:01,9.03,70.59,14.06,0.744,116.0156,77.3438,70.59,14.06
2025-11-03 10:26:43,3.16,60.00,7.03,0.250,178.1250,119.5312,60.00,7.03
2025-11-03 10:26:45,4.69,92.31,7.03,0.250,178.1250,119.5312,92.31,7.03
2025-11-03 10:26:45,4.87,92.31,7.03,0.345,178.1250,119.5312,92.31,7.03
2025-11-03 10:26:46,5.56,92.31,9.38,0.345,174.6094,90.2344,92.31,9.38
2025-11-03 10:26:46,5.68,50.00,9.38,0.345,174.6094,90.2344,50.00,9.38
2025-11-03 10:26:47,7.27,50.00,11.72,0.298,180.4688,89.0625,50.00,11.72
2025-11-03 10:26:48,7.70,63.16,11.72,0.298,180.4688,89.0625,63.16,11.72
2025-11-03 10:26:48,7.86,63.16,11.72,0.538,180.4688,89.0625,63.16,11.72
2025-11-03 10:26:49,8.67,50.00,11.72,0.538,180.4688,51.5625,50.00,11.72
2025-11-03 10:26:49,8.87,50.00,11.72,0.711,180.4688,51.5625,50.00,11.72
2025-11-03 10:26:49,9.46,50.00,14.06,0.711,179.2969,85.5469,50.00,14.06
2025-11-03 10:26:50,9.67,63.16,14.06,0.711,179.2969,85.5469,63.16,14.06
2025-11-03 10:26:50,9.88,63.16,14.06,0.805,179.2969,85.5469,63.16,14.06
2025-11-03 10:29:05,2.21,70.59,7.03,0.284,94.9219,46.8750,70.59,7.03
2025-11-03 10:29:06,3.22,70.59,7.03,0.399,199.2188,66.7969,70.59,7.03
2025-11-03 10:29:07,4.12,70.59,9.38,0.399,215.6250,64.4531,70.59,9.38
2025-11-03 10:29:07,4.21,70.59,9.38,0.660,215.6250,64.4531,70.59,9.38
2025-11-03 10:29:08,5.02,57.14,9.38,0.660,131.2500,75.0000,57.14,9.38
2025-11-03 10:29:08,5.33,57.14,9.38,0.763,131.2500,75.0000,57.14,9.38
2025-11-03 10:29:09,6.23,57.14,9.38,1.069,221.4844,71.4844,57.14,9.38
2025-11-03 10:29:09,6.45,57.14,11.72,1.069,221.4844,71.4844,57.14,11.72
2025-11-03 10:29:10,7.00,60.00,11.72,1.069,125.3906,48.0469,60.00,11.72
2025-11-03 10:29:10,7.26,60.00,11.72,0.580,125.3906,48.0469,60.00,11.72
2025-11-03 10:29:11,8.24,60.00,11.72,0.723,124.2188,66.7969,60.00,11.72
2025-11-03 10:29:12,9.37,60.00,14.06,0.712,124.2188,66.7969,60.00,14.06
